,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Tayside,20 to 24,"28,827","14,448","14,379","26,958","13,432","13,526","1,869","1,016",853
Tayside,25 to 29,"25,831","12,874","12,957","25,034","12,328","12,706",797,546,251
Tayside,30 to 34,"22,424","11,031","11,393","21,996","10,690","11,306",428,341,87
Tayside,35 to 39,"23,327","11,183","12,144","23,035","10,959","12,076",292,224,68
Tayside,40 to 44,"28,243","13,669","14,574","27,944","13,453","14,491",299,216,83
Tayside,45 to 49,"30,958","15,232","15,726","30,671","15,033","15,638",287,199,88
Tayside,50 to 54,"28,732","14,017","14,715","28,462","13,850","14,612",270,167,103
Tayside,55 to 59,"25,775","12,638","13,137","25,530","12,492","13,038",245,146,99
Tayside,60 to 64,"27,880","13,618","14,262","27,662","13,493","14,169",218,125,93
Tayside,65 to 69,"21,499","10,195","11,304","21,278","10,067","11,211",221,128,93
Tayside,70 to 74,"18,733","8,634","10,099","18,459","8,507","9,952",274,127,147
Tayside,75 to 79,"15,599","6,880","8,719","15,174","6,723","8,451",425,157,268
Tayside,80 to 84,"11,451","4,585","6,866","10,797","4,360","6,437",654,225,429
Tayside,85 to 89,"6,747","2,245","4,502","5,856","2,037","3,819",891,208,683
Tayside,90 to 94,"2,404",728,"1,676","1,837",616,"1,221",567,112,455
Tayside,95 and over,721,156,565,431,113,318,290,43,247
Western Isles,All people,"27,684","13,668","14,016","27,318","13,532","13,786",366,136,230
Western Isles,0 to 4,"1,354",718,636,"1,354",718,636,-,-,-
Western Isles,5 to 9,"1,413",696,717,"1,412",696,716,1,-,1
Western Isles,10 to 11,583,300,283,583,300,283,-,-,-
Western Isles,12 to 14,946,477,469,942,473,469,4,4,-
Western Isles,15,382,199,183,378,197,181,4,2,2
Western Isles,16 to 17,669,317,352,660,313,347,9,4,5
Western Isles,18 to 19,535,290,245,520,282,238,15,8,7
Western Isles,20 to 24,"1,228",686,542,"1,216",680,536,12,6,6
Western Isles,25 to 29,"1,258",642,616,"1,251",636,615,7,6,1
Western Isles,30 to 34,"1,377",674,703,"1,371",670,701,6,4,2
Western Isles,35 to 39,"1,636",814,822,"1,633",812,821,3,2,1
Western Isles,40 to 44,"2,055","1,054","1,001","2,046","1,048",998,9,6,3
Western Isles,45 to 49,"2,098","1,054","1,044","2,083","1,047","1,036",15,7,8
Western Isles,50 to 54,"2,035","1,044",991,"2,022","1,035",987,13,9,4
Western Isles,55 to 59,"1,972",990,982,"1,954",979,975,18,11,7
Western Isles,60 to 64,"2,174","1,124","1,050","2,161","1,118","1,043",13,6,7
Western Isles,65 to 69,"1,700",852,848,"1,689",845,844,11,7,4
Western Isles,70 to 74,"1,497",705,792,"1,474",691,783,23,14,9
Western Isles,75 to 79,"1,147",484,663,"1,118",476,642,29,8,21
Western Isles,80 to 84,840,340,500,795,325,470,45,15,30
Western Isles,85 to 89,539,165,374,471,154,317,68,11,57
Western Isles,90 to 94,186,33,153,145,28,117,41,5,36
Western Isles,95 and over,60,10,50,40,9,31,20,1,19
