,,All people: Total,All people: Males,All people: Females,Lives in a household: Total,Lives in a household: Males,Lives in a household: Females,Lives in a communal establishment: Total,Lives in a communal establishment: Males,Lives in a communal establishment: Females
Borders,85 to 89,"2,004",716,"1,288","1,826",677,"1,149",178,39,139
Borders,90 to 94,770,227,543,626,202,424,144,25,119
Borders,95 and over,195,30,165,123,22,101,72,8,64
Dumfries & Galloway,All people,"151,324","73,405","77,919","149,341","72,534","76,807","1,983",871,"1,112"
Dumfries & Galloway,0 to 4,"7,660","3,872","3,788","7,646","3,862","3,784",14,10,4
Dumfries & Galloway,5 to 9,"7,378","3,831","3,547","7,369","3,828","3,541",9,3,6
Dumfries & Galloway,10 to 11,"3,125","1,614","1,511","3,118","1,612","1,506",7,2,5
Dumfries & Galloway,12 to 14,"5,145","2,639","2,506","5,134","2,635","2,499",11,4,7
Dumfries & Galloway,15,"1,856",984,872,"1,844",978,866,12,6,6
Dumfries & Galloway,16 to 17,"3,864","1,949","1,915","3,832","1,931","1,901",32,18,14
Dumfries & Galloway,18 to 19,"3,027","1,537","1,490","3,004","1,525","1,479",23,12,11
Dumfries & Galloway,20 to 24,"7,692","3,906","3,786","7,583","3,836","3,747",109,70,39
Dumfries & Galloway,25 to 29,"7,375","3,617","3,758","7,297","3,564","3,733",78,53,25
Dumfries & Galloway,30 to 34,"6,745","3,236","3,509","6,665","3,181","3,484",80,55,25
Dumfries & Galloway,35 to 39,"8,163","3,911","4,252","8,096","3,861","4,235",67,50,17
Dumfries & Galloway,40 to 44,"10,610","5,017","5,593","10,541","4,967","5,574",69,50,19
Dumfries & Galloway,45 to 49,"11,995","5,845","6,150","11,911","5,781","6,130",84,64,20
Dumfries & Galloway,50 to 54,"11,180","5,476","5,704","11,090","5,422","5,668",90,54,36
Dumfries & Galloway,55 to 59,"10,787","5,254","5,533","10,712","5,204","5,508",75,50,25
Dumfries & Galloway,60 to 64,"11,672","5,794","5,878","11,595","5,750","5,845",77,44,33
Dumfries & Galloway,65 to 69,"9,843","4,721","5,122","9,768","4,686","5,082",75,35,40
Dumfries & Galloway,70 to 74,"8,154","3,957","4,197","8,067","3,917","4,150",87,40,47
Dumfries & Galloway,75 to 79,"6,622","3,071","3,551","6,494","3,019","3,475",128,52,76
Dumfries & Galloway,80 to 84,"4,635","1,910","2,725","4,387","1,836","2,551",248,74,174
Dumfries & Galloway,85 to 89,"2,582",927,"1,655","2,289",866,"1,423",293,61,232
Dumfries & Galloway,90 to 94,961,282,679,738,234,504,223,48,175
Dumfries & Galloway,95 and over,253,55,198,161,39,122,92,16,76
Fife,All people,"365,198","176,943","188,255","357,440","173,529","183,911","7,758","3,414","4,344"
Fife,0 to 4,"20,775","10,657","10,118","20,763","10,652","10,111",12,5,7
Fife,5 to 9,"19,156","9,844","9,312","19,149","9,839","9,310",7,5,2
Fife,10 to 11,"7,688","4,026","3,662","7,675","4,016","3,659",13,10,3
Fife,12 to 14,"12,498","6,323","6,175","12,417","6,257","6,160",81,66,15
Fife,15,"4,280","2,176","2,104","4,228","2,141","2,087",52,35,17
Fife,16 to 17,"8,852","4,403","4,449","8,660","4,295","4,365",192,108,84
Fife,18 to 19,"9,532","4,798","4,734","7,874","4,033","3,841","1,658",765,893
Fife,20 to 24,"24,141","11,605","12,536","22,240","10,669","11,571","1,901",936,965
Fife,25 to 29,"20,802","10,270","10,532","20,338","9,971","10,367",464,299,165
Fife,30 to 34,"20,787","10,078","10,709","20,631","9,977","10,654",156,101,55
Fife,35 to 39,"23,035","11,216","11,819","22,947","11,149","11,798",88,67,21
Fife,40 to 44,"27,445","13,477","13,968","27,356","13,411","13,945",89,66,23
Fife,45 to 49,"28,007","13,554","14,453","27,912","13,499","14,413",95,55,40
Fife,50 to 54,"26,152","12,966","13,186","26,057","12,908","13,149",95,58,37
Fife,55 to 59,"22,981","11,203","11,778","22,890","11,152","11,738",91,51,40
Fife,60 to 64,"24,996","12,181","12,815","24,854","12,112","12,742",142,69,73
Fife,65 to 69,"19,529","9,425","10,104","19,407","9,366","10,041",122,59,63
Fife,70 to 74,"15,652","7,241","8,411","15,441","7,137","8,304",211,104,107
Fife,75 to 79,"12,425","5,519","6,906","12,078","5,386","6,692",347,133,214
Fife,80 to 84,"8,730","3,521","5,209","8,185","3,368","4,817",545,153,392
Fife,85 to 89,"5,188","1,781","3,407","4,500","1,621","2,879",688,160,528
Fife,90 to 94,"1,977",574,"1,403","1,493",494,999,484,80,404
Fife,95 and over,570,105,465,345,76,269,225,29,196
Forth Valley,All people,"297,636","144,475","153,161","290,421","140,849","149,572","7,215","3,626","3,589"
Forth Valley,0 to 4,"16,683","8,432","8,251","16,670","8,423","8,247",13,9,4
Forth Valley,5 to 9,"15,909","8,217","7,692","15,900","8,210","7,690",9,7,2
Forth Valley,10 to 11,"6,672","3,366","3,306","6,630","3,341","3,289",42,25,17
Forth Valley,12 to 14,"10,838","5,587","5,251","10,645","5,489","5,156",193,98,95
Forth Valley,15,"3,630","1,873","1,757","3,566","1,839","1,727",64,34,30
Forth Valley,16 to 17,"7,256","3,680","3,576","7,052","3,550","3,502",204,130,74
Forth Valley,18 to 19,"8,277","4,194","4,083","6,767","3,416","3,351","1,510",778,732
Forth Valley,20 to 24,"18,895","9,350","9,545","17,210","8,434","8,776","1,685",916,769
Forth Valley,25 to 29,"17,082","8,259","8,823","16,625","7,969","8,656",457,290,167
Forth Valley,30 to 34,"17,347","8,450","8,897","17,101","8,282","8,819",246,168,78
Forth Valley,35 to 39,"20,059","9,650","10,409","19,846","9,505","10,341",213,145,68
Forth Valley,40 to 44,"23,519","11,540","11,979","23,334","11,419","11,915",185,121,64
Forth Valley,45 to 49,"23,739","11,638","12,101","23,551","11,521","12,030",188,117,71
Forth Valley,50 to 54,"21,054","10,470","10,584","20,916","10,383","10,533",138,87,51
Forth Valley,55 to 59,"18,202","8,852","9,350","18,074","8,774","9,300",128,78,50
Forth Valley,60 to 64,"19,431","9,491","9,940","19,293","9,409","9,884",138,82,56
Forth Valley,65 to 69,"14,922","7,093","7,829","14,783","7,019","7,764",139,74,65
Forth Valley,70 to 74,"12,540","5,760","6,780","12,384","5,692","6,692",156,68,88
Forth Valley,75 to 79,"9,646","4,253","5,393","9,392","4,149","5,243",254,104,150
Forth Valley,80 to 84,"6,492","2,635","3,857","6,125","2,511","3,614",367,124,243
Forth Valley,85 to 89,"3,703","1,223","2,480","3,266","1,130","2,136",437,93,344
Forth Valley,90 to 94,"1,380",384,996,"1,073",323,750,307,61,246
Forth Valley,95 and over,360,78,282,218,61,157,142,17,125
Grampian,All people,"569,061","281,332","287,729","555,917","275,317","280,600","13,144","6,015","7,129"
Grampian,0 to 4,"31,896","16,316","15,580","31,860","16,300","15,560",36,16,20
Grampian,5 to 9,"28,067","14,394","13,673","28,043","14,380","13,663",24,14,10
Grampian,10 to 11,"11,643","6,059","5,584","11,609","6,040","5,569",34,19,15
Grampian,12 to 14,"18,542","9,636","8,906","18,350","9,524","8,826",192,112,80
Grampian,15,"6,420","3,363","3,057","6,326","3,304","3,022",94,59,35
Grampian,16 to 17,"13,596","6,968","6,628","13,281","6,791","6,490",315,177,138
Grampian,18 to 19,"15,886","7,825","8,061","12,884","6,570","6,314","3,002","1,255","1,747"
Grampian,20 to 24,"41,372","21,064","20,308","38,775","19,744","19,031","2,597","1,320","1,277"
Grampian,25 to 29,"39,736","19,837","19,899","38,751","19,211","19,540",985,626,359
Grampian,30 to 34,"36,660","18,812","17,848","36,242","18,518","17,724",418,294,124
Grampian,35 to 39,"37,906","19,074","18,832","37,639","18,883","18,756",267,191,76
Grampian,40 to 44,"41,930","20,793","21,137","41,693","20,635","21,058",237,158,79
Grampian,45 to 49,"43,288","21,310","21,978","43,005","21,140","21,865",283,170,113
Grampian,50 to 54,"39,655","19,909","19,746","39,387","19,750","19,637",268,159,109
Grampian,55 to 59,"36,183","18,152","18,031","35,927","18,009","17,918",256,143,113
Grampian,60 to 64,"36,365","18,267","18,098","36,094","18,119","17,975",271,148,123
Grampian,65 to 69,"26,246","12,665","13,581","26,012","12,524","13,488",234,141,93
Grampian,70 to 74,"21,948","10,322","11,626","21,639","10,171","11,468",309,151,158
Grampian,75 to 79,"17,976","7,927","10,049","17,489","7,740","9,749",487,187,300
Grampian,80 to 84,"12,790","5,065","7,725","11,957","4,808","7,149",833,257,576
Grampian,85 to 89,"7,409","2,604","4,805","6,394","2,354","4,040","1,015",250,765
Grampian,90 to 94,"2,807",830,"1,977","2,117",702,"1,415",690,128,562
Grampian,95 and over,740,140,600,443,100,343,297,40,257
Greater Glasgow & Clyde,All people,"1,213,408","583,126","630,282","1,192,519","573,387","619,132","20,889","9,739","11,150"
Greater Glasgow & Clyde,0 to 4,"66,928","34,161","32,767","66,904","34,150","32,754",24,11,13
Greater Glasgow & Clyde,5 to 9,"60,306","30,691","29,615","60,294","30,683","29,611",12,8,4
Greater Glasgow & Clyde,10 to 11,"25,395","13,024","12,371","25,374","13,011","12,363",21,13,8
Greater Glasgow & Clyde,12 to 14,"40,202","20,710","19,492","40,083","20,636","19,447",119,74,45
Greater Glasgow & Clyde,15,"14,062","7,319","6,743","13,949","7,247","6,702",113,72,41
Greater Glasgow & Clyde,16 to 17,"28,157","14,501","13,656","27,891","14,341","13,550",266,160,106
Greater Glasgow & Clyde,18 to 19,"36,414","17,983","18,431","32,780","16,359","16,421","3,634","1,624","2,010"
Greater Glasgow & Clyde,20 to 24,"93,763","46,282","47,481","89,637","44,217","45,420","4,126","2,065","2,061"
Greater Glasgow & Clyde,25 to 29,"88,762","43,986","44,776","87,615","43,188","44,427","1,147",798,349
Greater Glasgow & Clyde,30 to 34,"79,593","39,052","40,541","78,937","38,532","40,405",656,520,136
Greater Glasgow & Clyde,35 to 39,"78,196","38,130","40,066","77,732","37,746","39,986",464,384,80
Greater Glasgow & Clyde,40 to 44,"90,830","43,434","47,396","90,396","43,090","47,306",434,344,90
Greater Glasgow & Clyde,45 to 49,"94,786","45,460","49,326","94,382","45,152","49,230",404,308,96
Greater Glasgow & Clyde,50 to 54,"85,922","41,466","44,456","85,595","41,232","44,363",327,234,93
Greater Glasgow & Clyde,55 to 59,"71,967","35,258","36,709","71,595","35,005","36,590",372,253,119
Greater Glasgow & Clyde,60 to 64,"68,200","33,107","35,093","67,769","32,838","34,931",431,269,162
Greater Glasgow & Clyde,65 to 69,"53,265","25,166","28,099","52,734","24,852","27,882",531,314,217
Greater Glasgow & Clyde,70 to 74,"47,147","20,680","26,467","46,269","20,252","26,017",878,428,450
Greater Glasgow & Clyde,75 to 79,"39,381","16,052","23,329","38,142","15,534","22,608","1,239",518,721
Greater Glasgow & Clyde,80 to 84,"27,222","9,951","17,271","25,441","9,387","16,054","1,781",564,"1,217"
Greater Glasgow & Clyde,85 to 89,"15,438","4,968","10,470","13,421","4,480","8,941","2,017",488,"1,529"
Greater Glasgow & Clyde,90 to 94,"5,897","1,462","4,435","4,559","1,221","3,338","1,338",241,"1,097"
Greater Glasgow & Clyde,95 and over,"1,575",283,"1,292","1,020",234,786,555,49,506
Highland,All people,"320,298","156,611","163,687","314,058","153,386","160,672","6,240","3,225","3,015"
Highland,0 to 4,"16,812","8,627","8,185","16,780","8,612","8,168",32,15,17
Highland,5 to 9,"16,720","8,551","8,169","16,675","8,530","8,145",45,21,24
Highland,10 to 11,"6,882","3,588","3,294","6,855","3,572","3,283",27,16,11
Highland,12 to 14,"11,469","6,003","5,466","11,364","5,943","5,421",105,60,45
Highland,15,"3,950","2,024","1,926","3,891","1,997","1,894",59,27,32
Highland,16 to 17,"8,020","4,086","3,934","7,897","4,022","3,875",123,64,59
Highland,18 to 19,"6,378","3,453","2,925","6,161","3,300","2,861",217,153,64
Highland,20 to 24,"16,009","8,548","7,461","15,113","7,879","7,234",896,669,227
Highland,25 to 29,"17,001","8,473","8,528","16,297","7,949","8,348",704,524,180
Highland,30 to 34,"16,394","8,102","8,292","16,088","7,885","8,203",306,217,89
Highland,35 to 39,"18,700","8,884","9,816","18,469","8,731","9,738",231,153,78
Highland,40 to 44,"23,088","11,049","12,039","22,877","10,922","11,955",211,127,84
Highland,45 to 49,"25,384","12,368","13,016","25,163","12,237","12,926",221,131,90
Highland,50 to 54,"24,020","11,836","12,184","23,796","11,720","12,076",224,116,108
Highland,55 to 59,"22,940","11,251","11,689","22,705","11,125","11,580",235,126,109
Highland,60 to 64,"24,155","11,920","12,235","23,936","11,807","12,129",219,113,106
Highland,65 to 69,"19,187","9,505","9,682","19,011","9,401","9,610",176,104,72
Highland,70 to 74,"15,437","7,204","8,233","15,251","7,119","8,132",186,85,101
Highland,75 to 79,"12,068","5,355","6,713","11,773","5,239","6,534",295,116,179
